area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
60 m²,5,5,,Quận Bình Tân,"8,0 m",Nhà phố,,4,"4,3 Tỷ VNĐ",,Nhà mới xây 4 tấm đẹp 1 sẹc Hương Lộ 2 diện tích,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-moi-xay-4-tam-dep-1-sec-huong-lo-2-dien-tich-r-7091742
76 m²,4,4,,Quận Bình Tân,"7,0 m",Nhà phố,,2,"3,9 Tỷ VNĐ",,Nhà mới có 2 Lầu gần chung cư Lê Thành (4m*19m),http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-moi-co-2-lau-gan-chung-cu-le-thanh-4m19m-gia-c-7179264
75 m²,4,4,Đông Bắc,Huyện Hóc Môn,"36,0 m",Nhà phố,Sổ hồng,3,"1,7 Tỷ VNĐ",,Cần tiền gấp bán rẻ nhà liền kề Nguyễn Văn Bứa.,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-tien-gap-ban-re-nha-lien-ke-nguyen-van-bua-dt-6906727
40 m²,3,3,,Quận Bình Tân,"7,0 m",Nhà phố,,2,"3,1 Tỷ VNĐ",,Nhà chính chủ hẻm nhựa rộng và thông đường Đất,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-chinh-chu-hem-nhua-rong-va-thong-duong-dat-moi-7180473
45 m²,2,3,,Quận Bình Tân,"7,0 m",Nhà phố,,1,"2,8 Tỷ VNĐ",,Nhà riêng vị trí đẹp có 1 tấm với diện tích 4.,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-rieng-vi-tri-dep-co-1-tam-voi-dien-tich-4-5x10-7179392
36 m²,2,2,,Quận Bình Tân,"6,0 m",Nhà phố,,1,"2,4 Tỷ VNĐ",,"Làm ăn thua lỗ bán nhà 1/ Chiến Lược giá 2.4 tỷ,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/lam-an-thua-lo-ban-nha-1-chien-luoc-gia-2-4-ty-4x9-7178435
48 m²,2,2,,Quận Bình Tân,"6,0 m",Nhà phố,,1,"2,63 Tỷ VNĐ",,Bán nhà 1 Lửng kiên cố như 1 lầu gần chợ Hương Lộ,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-1-lung-kien-co-nhu-1-lau-gan-cho-huong-lo-7178217
85 m²,7,6,,Quận Phú Nhuận,"5,0 m",Nhà phố,Sổ hồng,4,"8,8 Tỷ VNĐ",,"Bán Nhà Ở Hxh, Phan Đăng Lưu, Phú Nhuận 85m2, 4",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-o-hxh-phan-dang-luu-phu-nhuan-85m2-4-tam-n-7171204
219 m²,6,6,,Quận Tân Bình,"7,0 m",Biệt thự/ Villa,Sổ hồng,3,21 Tỷ VNĐ,,"Cần Bán Nhanh Dinh Thự Cũ, Thăng Long, Tân Bình,",http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/can-ban-nhanh-dinh-thu-cu-thang-long-tan-binh-3t-2-7091623
62 m²,4,4,,Quận Tân Bình,"5,0 m",Nhà phố,Sổ hồng,3,5 Tỷ VNĐ,,"Cần Bán Gấp Nhà Hxh Ni Sư Huỳnh Liên,tân Bình",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-gap-nha-hxh-ni-su-huynh-lien-tan-binh-62m2-7171190
