area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
65 m²,2,2,,Quận 12,,Chung cư,Sổ hồng,20,"1,5 Tỷ VNĐ",,Bán Căn hộ Quận 12 Gần cầu Tham Lương,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-quan-12-gan-cau-tham-luong-7267204
65 m²,2,2,,Quận 12,,Chung cư,Sổ hồng,,"1,5 Tỷ VNĐ",,Bán Căn hộ Quận 12 ngay chân cầu Tham Lương,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-quan-12-ngay-chan-cau-tham-luong-7268801
65 m²,2,2,,Quận 12,,Chung cư,Sổ hồng,,"1,5 Tỷ VNĐ",,Bán Căn hộ chung cư quận 12 đường Phan Văn Hớn,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-chung-cu-quan-12-duong-phan-van-hon-nga-7268992
58 m²,,2,Đông Nam,Quận Thủ Đức,,Chung cư,,15,1 Tỷ VNĐ,,Căn hộ cao cấp giá 1 tỷ ngay TT Thủ Đức 2 phòng,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-gia-1-ty-ngay-tt-thu-duc-2-phong-ng-7087018
71 m²,2,2,,Huyện Nhà Bè,,Chung cư,Có giấy phép xây dựng,,"2,1 Tỷ VNĐ",,Căn hộ cao cấp Dragon Hill,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-dragon-hill-2-7256372
87 m²,,3,,Quận 9,,Chung cư,,,2 Tỷ VNĐ,,Căn hộ trung tâm đã hoàn thiện 87m2 - 3,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-trung-tam-da-hoan-thien-87m2-3-pn-7258061
49 m²,1,1,Nam,Quận 2,"40,0 m",Chung cư,Sổ hồng,33,"1,862 Tỷ VNĐ",,Phương Thức Thanh Toán Linh Hoạt 3% Cho Căn Hộ,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/phuong-thuc-thanh-toan-linh-hoat-3-cho-can-ho-quan-7020458
80 m²,2,2,,Quận 2,,Chung cư,Sổ hồng,33,"2,8 Tỷ VNĐ",,Chọn căn đẹp dự án Gem Riverside quận 2 - thanh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chon-can-dep-du-an-gem-riverside-quan-2-thanh-toan-7157283
85 m²,2,2,Nam,Quận 7,,Chung cư,Sổ hồng,32,2 Tỷ VNĐ,,"A1 Riverside, nhận nhà ở ngay, bàn giao full nội",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/a1-riverside-nhan-nha-o-ngay-ban-giao-full-noi-tha-7236254
50 m²,1,1,Nam,Quận 2,,Chung cư,Sổ hồng,33,"1,9 Tỷ VNĐ",,Chỉ 250tr Sở Hữu Ngay Căn Hộ Trung Tâm Quận,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-250tr-so-huu-ngay-can-ho-trung-tam-quan-2-7239437
62 m²,2,2,Tây Bắc,Huyện Bình Chánh,"0,0 m",Chung cư,Sổ hồng,,"1,3 Tỷ VNĐ",,"Bán Căn Hộ, Nhà Ở Xã Hội Siêu Tiện Ích Tại Đại Lộ",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-nha-o-xa-hoi-sieu-tien-ich-tai-dai-lo-n-6594069
122 m²,2,3,,Quận 7,"20,0 m",Chung cư,Sổ hồng,26,"3,4 Tỷ VNĐ",,Tặng 100tr Cho Khách Hàng Khi Mua Dự Án Lux,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tang-100tr-cho-khach-hang-khi-mua-du-an-lux-garden-7166528
65 m²,2,2,,Quận 12,"40,0 m",Chung cư,Sổ hồng,,"1,5 Tỷ VNĐ",,Bán Căn hộ Quận 12 Gần cầu Tham Lương,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-quan-12-gan-cau-tham-luong-7249432
75 m²,2,2,Đông Nam,Quận 4,"20,0 m",Chung cư,Sổ hồng,40,"4,125 Tỷ VNĐ",,"Lancaster Lincoln Quận 4 - Thanh toán chỉ 30%,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/lancaster-lincoln-quan-4-thanh-toan-chi-30-gia-uu-7251210
110 m²,2,3,Đông Nam,Quận Phú Nhuận,,Chung cư,,24,6 Tỷ VNĐ,,Chính chủ bán căn hộ cao cấp Novaland Hồng Hà -,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-ban-can-ho-cao-cap-novaland-hong-ha-phu-7252646
50 m²,2,2,Nam,Quận 2,,Chung cư,Sổ hồng,33,"1,85 Tỷ VNĐ",,"Căn hộ resort lần đầu công bố tại Quận 2, giá",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-resort-lan-dau-cong-bo-tai-quan-2-gia-thap-7226551
65 m²,2,2,Đông Bắc,Quận 12,,Chung cư,Sổ hồng,20,"1,5 Tỷ VNĐ",,Mở Bán Block Đẹp Nhất Căn Hộ Cao Cấp-Shophouse,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mo-ban-block-dep-nhat-can-ho-cao-cap-shophouse-pro-7252732
105 m²,2,3,,Quận 7,,Chung cư,,20,"2,1 Tỷ VNĐ",,"3 PN căn hộ Belleza lầu cao giá siêu tốt, có",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/3-pn-can-ho-belleza-lau-cao-gia-sieu-tot-co-thuong-7047294
53 m²,,0,,Quận 7,,Chung cư,,34,"1,5 Tỷ VNĐ",,Bán căn hộ giá rẻ Quận 7 - Saigon,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-gia-re-quan-7-saigon-riverside-7232954
77 m²,2,2,Đông Nam,Quận 5,,Chung cư,,39,Giá bảo mật,,Căn Hộ Đáng Sống Nhất Tại Quận 5 Với Phong Thủy,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-dang-song-nhat-tai-quan-5-voi-phong-thuy-tu-7227990
65 m²,2,2,,Quận Tân Bình,,Chung cư,Sổ hồng,2,"1,5 Tỷ VNĐ",,"Chỉ 1,5 tỷ sở hữu ngay Căn hộ Trường Chinh-Phan",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-1-5-ty-so-huu-ngay-can-ho-truong-chinh-phan-va-7230710
65 m²,1,2,,Quận Tân Phú,,Chung cư,Có giấy phép xây dựng,22,"1,43 Tỷ VNĐ",,Dự Án Tecco Đầm Sen,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/du-an-tecco-dam-sen-complex-6927759
50 m²,1,1,,Quận 8,,Chung cư,Sổ hồng,20,990 Triệu VNĐ,,"Bán gấp căn hộ The Avila 50m2, 1PN, giá chỉ 990",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-gap-can-ho-the-avila-50m2-1pn-gia-chi-990-trie-6205441
52 m²,1,2,Đông,Quận 8,"30,0 m",Chung cư,Có giấy phép xây dựng,12,"1,1 Tỷ VNĐ",,"City Gate 3 - Siêu dự án khủng nhất Q8, thanh",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/city-gate-3-sieu-du-an-khung-nhat-q8-thanh-toan-20-6710049
88 m²,3,3,Đông Bắc,Quận Tân Phú,,Chung cư,Sổ hồng,18,"2,5 Tỷ VNĐ",,Cần bán lại căn hộ A18-03 chung cư Topas Center,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-lai-can-ho-a18-03-chung-cu-topas-center-so-7202160
89 m²,2,3,Bắc,Quận 2,,Chung cư,,,"2,7 Tỷ VNĐ",,Bán Chung Cư Cao Cấp Parc Spring Quận 2 có,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-chung-cu-cao-cap-parc-spring-quan-2-co-3pn2wc-7182674
60 m²,2,2,Đông Nam,Quận 8,,Chung cư,Có giấy phép xây dựng,,"1,1 Tỷ VNĐ",,"Căn Hộ Quận 8, 1,1tỷ 2pn,view Sông Thoáng",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-quan-8-1-1ty-2pn-view-song-thoang-mat-7170425
84 m²,2,3,Đông Bắc,Quận 4,"35,0 m",Chung cư,Có giấy phép xây dựng,14,"3,5 Tỷ VNĐ",,"Cần bán Căn hộ Grand Riverside Quận 4, giá 3,5",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-can-ho-grand-riverside-quan-4-gia-3-5-ty-5309356
50 m²,1,1,Đông,Quận 8,,Chung cư,Sổ hồng,25,"1,2 Tỷ VNĐ",,Thanh Toán 350 triêu để sở hữu căn hộ ngay hôm,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/thanh-toan-350-trieu-de-so-huu-can-ho-ngay-hom-nay-7200450
65 m²,,2,Đông,Quận 4,,Chung cư,,34,Giá bảo mật,,"Căn hộ thông minh Charmington IRIS Quận 4, chiết",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-thong-minh-charmington-iris-quan-4-chiet-kh-7226403
69 m²,1,2,,Huyện Nhà Bè,"25,0 m",Chung cư,,23,"2,691 Tỷ VNĐ",,Siêu Dự án TNR kenton node Căn hộ tỷ,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/sieu-du-an-tnr-kenton-node-can-ho-ty-usd-7266158
63 m²,2,2,Bắc,Quận 12,"20,0 m",Chung cư,Có giấy phép xây dựng,20,"1,4 Tỷ VNĐ",,Cô chủ nhà gửi sang nhượng lại căn hộ topaz home,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/co-chu-nha-gui-sang-nhuong-lai-can-ho-topaz-home-g-7268544
98 m²,2,3,,Quận 8,,Chung cư,,,"2,8 Tỷ VNĐ",,Bán căn hộ duplex 2 tầng siêu đẹp giá,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-duplex-2-tang-sieu-dep-gia-tot-7271519
40 m²,,2,,Quận Bình Tân,,Chung cư,Sổ hồng,22,521 Triệu VNĐ,,"Mở Bán 50 Suất Nội Bộ, 521tr/căn, Full Nội Thất,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mo-ban-50-suat-noi-bo-521tr-can-full-noi-that-le-t-7266896
87 m²,2,2,,Quận Phú Nhuận,,Chung cư,Sổ hồng,5,4 Tỷ VNĐ,,Bán căn hộ cao cấp - Cao ốc Satra Exim Phan Đặng,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-cao-cap-cao-oc-satra-exim-phan-dang-luu-7275818
64 m²,2,2,Đông Nam,Quận Thủ Đức,,Chung cư,Sổ hồng,,"1,4 Tỷ VNĐ",,Chính chủ bán căn hộ Block B tầng cao view đẹp,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-ban-can-ho-block-b-tang-cao-view-dep-64m-7229154
66 m²,,2,,Quận 7,,Chung cư,Sổ hồng,28,Giá bảo mật,,"Q7 Saigon Riverside, Tặng Bộ Smarthome, Full Bộ",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/q7-saigon-riverside-tang-bo-smarthome-full-bo-bep-7277032
54 m²,1,2,Đông Nam,Quận 8,,Chung cư,,,"1,7 Tỷ VNĐ",,Bán gấp căn hộ Pegasuit mặt tiền Tạ Quang Bửu,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-gap-can-ho-pegasuit-mat-tien-ta-quang-buu-phuo-7259093
65 m²,2,2,Đông,Quận 7,"30,0 m",Chung cư,Sổ hồng,34,"1,69 Tỷ VNĐ",,Đầu Tư Căn Hộ Saigon Riverside Complex Ngay,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/dau-tu-can-ho-saigon-riverside-complex-ngay-q7-tie-6881715
52 m²,1,2,Đông,Quận 8,"30,0 m",Chung cư,Có giấy phép xây dựng,33,1 Tỷ VNĐ,,"Bán CH Quận 8 giá rẻ nhất khu vực chỉ 1.1 tỷ/căn,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-ch-quan-8-gia-re-nhat-khu-vuc-chi-1-1-ty-can-n-7262179
103 m²,3,3,,Quận Tân Bình,,Chung cư,Sổ hồng,26,Giá bảo mật,,Căn Hộ Có Lửng Đầu Tiên Ở Tân Bình Liền Kề Sân,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-co-lung-dau-tien-o-tan-binh-lien-ke-san-bay-7259466
65 m²,2,2,Đông Bắc,Quận 12,"12,0 m",Chung cư,Sổ hồng,16,"1,6 Tỷ VNĐ",,Khai trương block A đẹp nhất dự án Prosper Q.12.,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/khai-truong-block-a-dep-nhat-du-an-prosper-q-12-vi-7277785
52 m²,2,2,Đông Nam,Quận 9,,Chung cư,Có giấy phép xây dựng,2,"1,1 Tỷ VNĐ",,Căn hộ Thủ Thiêm Garden Q9 - 1.1 tỷ/52m2 luôn,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-thu-thiem-garden-q9-1-1-ty-52m2-luon-vat-5523688
